Danh mục,Tên sản phẩm,Giá,Link
CPU,Intel Core i5 13400 / 2.5GHz Turbo 4.6GHz / 10 Nhân 16 Luồng / 20MB / LGA 1700,4890000,https://gearvn.com/products/intel-core-i5-13400
CPU,Intel Core i5 12400F / 2.5GHz Turbo 4.4GHz / 6 Nhân 12 Luồng / 18MB / LGA 1700  (TRAY),2590000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-i5-12400f-tray
CPU,Intel Core i5 12400F / 2.5GHz Turbo 4.4GHz / 6 Nhân 12 Luồng / 18MB / LGA 1700,3290000,https://gearvn.com/products/intel-core-i5-12400f
CPU,Intel Core i5 12400 / 2.5GHz Turbo 4.4GHz / 6 Nhân 12 Luồng / 18MB / LGA 1700 (TRAY),3490000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-i5-12400-tray
CPU,Intel Core i5 12400 / 2.5GHz Turbo 4.4GHz / 6 Nhân 12 Luồng / 18MB / LGA 1700,4290000,https://gearvn.com/products/intel-core-i5-12400
CPU,Intel Core i3 14100F / Turbo up to 4.7GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700,3190000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-i3-14100f
CPU,Intel Core i3 14100 / Turbo up to 4.7GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700,3890000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-i3-14100
CPU,Intel Core i3 13100F / 3.4GHz Turbo 4.5GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700,3090000,https://gearvn.com/products/intel-core-i3-13100f
CPU,Intel Core i3 13100 / 3.4GHz Turbo 4.5GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700,3990000,https://gearvn.com/products/intel-core-i3-13100
CPU,Intel Core i3 12100F / 3.3GHz Turbo 4.3GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700 (TRAY),1790000,https://gearvn.com/products/bo-vi-xu-ly-intel-core-i3-12100f-tray
CPU,Intel Core i3 12100F / 3.3GHz Turbo 4.3GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700,2190000,https://gearvn.com/products/intel-core-i3-12100f
CPU,Intel Core i3 12100 / 3.3GHz Turbo 4.3GHz / 4 Nhân 8 Luồng / 12MB / LGA 1700,3190000,https://gearvn.com/products/intel-core-i3-12100
CPU,AMD Athlon 3000G / 3.5GHz / 2 nhân 4 luồng / 5MB / AM4,1290000,https://gearvn.com/products/cpu-amd-athlon-3000g-3-5ghz-2-nhan-4-luong-radeon-vega-3-graphics
CPU,AMD Ryzen 3 3200G / 3.6GHz Boost 4.0GHz / 4 nhân 4 luồng / 4MB / AM4,1990000,https://gearvn.com/products/amd-ryzen-3-3200g-6mb-3-6ghz-4-nhan-4-luong
CPU,AMD Ryzen 5 5500 / 3.6GHz Boost 4.2GHz / 6 nhân 12 luồng / 16MB / AM4,2390000,https://gearvn.com/products/amd-ryzen-5-5500
CPU,AMD Ryzen 3 4300G / 3.8GHz Boost 4.0GHz / 4 nhân 8 luồng / 6MB / AM4,2490000,https://gearvn.com/products/amd-ryzen-3-4300g
CPU,AMD Ryzen 5 5600 / 3.5GHz Boost 4.4GHz / 6 nhân 12 luồng / 32MB / AM4,2790000,https://gearvn.com/products/amd-ryzen-5-5600
CPU,AMD Ryzen 5 5500GT / 3.6GHz Boost 4.4GHz / 6 nhân 12 luồng / 19MB / AM4,3090000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-5-5500gt-3-6ghz-boost-4-4ghz-6-nhan-12-luong-19mb-am4
CPU,AMD Ryzen 5 5600G / 3.9GHz Boost 4.4GHz / 6 nhân 12 luồng / 16MB / AM4,3490000,https://gearvn.com/products/amd-ryzen-5-5600g
CPU,AMD Ryzen 5 5600GT / 3.6GHz Boost 4.6GHz / 6 nhân 12 luồng / 19MB / AM4,3990000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-5-5600gt
CPU,AMD Ryzen 5 8500G / 3.5GHz Boost 5.0GHz / 6 nhân 12 luồng / 22MB / AM5,4190000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-5-8500g
CPU,AMD Ryzen 5 8400F / 4.2GHz Boost 4.7GHz / 6 nhân 12 luồng / 22MB / AM5 (TRAY),4290000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-5-8400f-tray
CPU,AMD Ryzen 5 8400F / 4.2GHz Boost 4.7GHz / 6 nhân 12 luồng / 22MB / AM5,4490000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-5-8400f
CPU,AMD Ryzen 5 5600X / 3.7GHz Boost 4.6GHz / 6 nhân 12 luồng / 32MB / AM4,4490000,https://gearvn.com/products/amd-ryzen-5-5600x-32mb-3-7ghz-boost-4-6ghz-6-nhan-12-luong
CPU,AMD Ryzen 7 5700 / 3.7GHz Boost 4.6GHz / 8 nhân 16 luồng / 20MB / AM4,4790000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-7-5700
CPU,AMD Ryzen 7 5700G / 3.8GHz Boost 4.6GHz / 8 nhân 16 luồng / 16MB / AM4,4990000,https://gearvn.com/products/amd-ryzen-7-5700g
CPU,AMD Ryzen 7 5700X / 3.4GHz Boost 4.6GHz / 8 nhân 16 luồng / 32MB / AM4,5290000,https://gearvn.com/products/amd-ryzen-7-5700x
CPU,AMD Ryzen 5 8600G / 4.3GHz Boost 5.0GHz / 6 nhân 12 luồng / 22MB / AM5,5290000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-5-8600g
CPU,AMD Ryzen 5 7600 / 3.8GHz Boost 5.1GHz / 6 nhân 12 luồng / 38MB / AM5,5790000,https://gearvn.com/products/amd-ryzen-5-7600
CPU,AMD Ryzen 5 7600X / 4.7GHz Boost 5.3GHz / 6 nhân 12 luồng / 38MB / AM5,6490000,https://gearvn.com/products/amd-ryzen-5-7600x
CPU,AMD Ryzen 7 5700X3D / 3.0GHz Boost 4.1GHz / 8 nhân 16 luồng / 100MB / AM4,6490000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-7-5700x3d
CPU,AMD Ryzen 7 8700F / 4.1GHz Boost 5.0GHz / 8 nhân 16 luồng / 24MB / AM5,6890000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-7-8700f-4-1ghz-boost-5-0ghz-8-nhan-16-luong-24mb-am5
CPU,AMD Ryzen 9 5900X / 3.7GHz Boost 4.8GHz / 12 nhân 24 luồng / 64MB / AM4,8590000,https://gearvn.com/products/amd-ryzen-9-5900x-64mb-3-7ghz-boost-4-8ghz-12-nhan-24-luong
CPU,AMD Ryzen 7 5800X3D / 3.4GHz Boost 4.5GHz / 8 nhân 16 luồng / 96MB / AM4,8690000,https://gearvn.com/products/amd-ryzen-7-5800x-3d
CPU,AMD Ryzen 7 7700 / 3.8GHz Boost 5.3GHz / 8 nhân 16 luồng / 40MB / AM5,8790000,https://gearvn.com/products/amd-ryzen-7-7700
CPU,AMD Ryzen 7 7700X / 4.5GHz Boost 5.4GHz / 8 nhân 16 luồng / 40MB / AM5,9290000,https://gearvn.com/products/amd-ryzen-7-7700x
CPU,AMD Ryzen 7 8700G / 4.2GHz Boost 5.1GHz / 8 nhân 16 luồng / 24MB / AM5,9490000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-7-8700g
CPU,AMD Ryzen 7 9700X / 3.8GHz Boost 5.5GHz / 8 nhân 16 luồng / 40MB / AM5,9990000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-7-9700x
CPU,AMD Ryzen 9 7900 / 3.7GHz Boost 5.4GHz / 12 nhân 24 luồng / 76MB / AM5,10490000,https://gearvn.com/products/amd-ryzen-9-7900
CPU,AMD Ryzen 9 5950X / 3.4GHz Boost 4.9GHz / 16 nhân 32 luồng / 64MB / AM4,10590000,https://gearvn.com/products/amd-ryzen-9-5950x-64md-3-4ghz-boost-4-9ghz-16-nhan-32-luong
CPU,AMD Ryzen 9 7900X / 4.7GHz Boost 5.6GHz / 12 nhân 24 luồng / 76MB / AM5,10990000,https://gearvn.com/products/amd-ryzen-9-7900x
CPU,AMD Ryzen 9 9900X / 4.4GHz Boost 5.6GHz / 12 nhân 24 luồng / 76MB / AM5,12690000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-9-9900x
CPU,AMD Ryzen 7 7800X3D / 4.2GHz Boost 5.0GHz / 8 nhân 16 luồng / 104MB / AM5,12890000,https://gearvn.com/products/amd-ryzen-7-7800x3d
CPU,AMD Ryzen 9 7900X3D / 4.4GHz Boost 5.6GHz / 12 nhân 24 luồng / 140MB / AM5,14990000,https://gearvn.com/products/amd-ryzen-9-7900x3d
CPU,AMD Ryzen 7 9800X3D / 4.7GHz Boost 5.2GHz / 8 nhân 16 luồng / 104MB / AM5,14990000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-7-9800x3d
CPU,AMD Ryzen 9 7950X / 4.5GHz Boost 5.7GHz / 16 nhân 32 luồng / 81MB / AM5,15190000,https://gearvn.com/products/amd-ryzen-9-7950x
CPU,AMD Ryzen 9 9950X / 4.3GHz Boost 5.7GHz / 16 nhân 32 luồng / 80MB / AM5,17990000,https://gearvn.com/products/bo-vi-xu-ly-amd-ryzen-9-9950x
CPU,AMD Ryzen 9 7950X3D / 4.2GHz Boost 5.7GHz / 16 nhân 32 luồng / 144MB / AM5,18990000,https://gearvn.com/products/amd-ryzen-9-7950x3d
Heatsink,Tản nhiệt AIO MSI MAG CORELIQUID I360 BLACK,3990000,https://gearvn.com/products/tan-nhiet-aio-msi-mag-coreliquid-i360-black
Heatsink,Tản nhiệt nước AIO ASUS TUF Gaming LC II 240 ARGB,2990000,https://gearvn.com/products/tan-nhiet-nuoc-aio-asus-tuf-gaming-lc-ii-240-argb
Heatsink,Tản nhiệt AIO MSI MAG CORELIQUID I240 WHITE,2990000,https://gearvn.com/products/tan-nhiet-aio-msi-mag-coreliquid-i240-white
Heatsink,Tản nhiệt AIO MSI MAG CORELIQUID I240 BLACK,2890000,https://gearvn.com/products/tan-nhiet-aio-msi-mag-coreliquid-i240-black
Heatsink,Tản nhiệt AIO Cooler Master MasterLiquid 360 Atmos Stealth,2790000,https://gearvn.com/products/tan-nhiet-aio-cooler-master-masterliquid-360-atmos-stealth
Heatsink,Tản nhiệt Cooler Master Hyper 612 Apex,1590000,https://gearvn.com/products/tan-nhiet-cooler-master-hyper-612-apex
Heatsink,Tản nhiệt AIO Lian Li HydroShift LCD 360TL Wireless Fan Black (G89.GHS2LCD36TB.00),7990000,https://gearvn.com/products/tan-nhiet-aio-lian-li-hydroshift-lcd-360tl-wireless-fan-black-g89-ghs2lcd36tb-00
Heatsink,Tản nhiệt AIO Lian Li HydroShift LCD 360TL Wireless Fan White (G89.GHS2LCD36TW.00),7990000,https://gearvn.com/products/tan-nhiet-aio-lian-li-hydroshift-lcd-360tl-wireless-fan-white-g89-ghs2lcd36tw-00
Heatsink,Tản nhiệt AIO ASUS ROG Ryujin III 360 ARGB Extreme White,10990000,https://gearvn.com/products/tan-nhiet-aio-asus-rog-ryujin-iii-360-argb-extreme-white
Heatsink,Tản nhiệt Jonsbo TH-240 Black ARGB,1590000,https://gearvn.com/products/tan-nhiet-jonsbo-th-240-black-argb
Heatsink,Tản nhiệt Jonsbo TH-240 White ARGB,1590000,https://gearvn.com/products/tan-nhiet-jonsbo-th-240-white-argb
Heatsink,Tản nhiệt AIO ASUS ROG Ryuo IV SLC 360 ARGB,9990000,https://gearvn.com/products/tan-nhiet-aio-asus-rog-ryuo-iv-slc-360-argb
Heatsink,Tản nhiệt AIO TRYX Panorama 360 ARGB Black,9790000,https://gearvn.com/products/tan-nhiet-aio-tryx-panorama-360-argb-black
Heatsink,Tản nhiệt AIO TRYX Panorama 360 ARGB White,9790000,https://gearvn.com/products/tan-nhiet-aio-tryx-panorama-360-argb-white
Heatsink,Tản nhiệt AIO TRYX Panorama 360 SE ARGB Black,7790000,https://gearvn.com/products/tan-nhiet-aio-tryx-panorama-360-se-argb-black
Heatsink,Tản nhiệt AIO TRYX Panorama 360 SE ARGB White,7990000,https://gearvn.com/products/tan-nhiet-aio-tryx-panorama-360-se-argb-white
Heatsink,Tản nhiệt AIO Lian Li HydroShift LCD 360TL Black (Non Fan),4990000,https://gearvn.com/products/tan-nhiet-aio-lian-li-hydroshift-lcd-360tl-black-non-fan
Heatsink,Tản nhiệt AIO Lian Li HydroShift LCD 360TL White (Non Fan),4990000,https://gearvn.com/products/tan-nhiet-aio-lian-li-hydroshift-lcd-360tl-white-non-fan
Heatsink,Tản nhiệt Jonsbo TH-360 White ARGB,1890000,https://gearvn.com/products/tan-nhiet-jonsbo-th-360-white-argb
Heatsink,Tản nhiệt Jonsbo TH-360 Black ARGB,1890000,https://gearvn.com/products/tan-nhiet-jonsbo-th-360-black-argb
Heatsink,Tản nhiệt Jonsbo TF-360 LCD Black ARGB,4990000,https://gearvn.com/products/tan-nhiet-jonsbo-tf-360-lcd-black-argb
Heatsink,Tản nhiệt Jonsbo TF-360 LCD White ARGB,4990000,https://gearvn.com/products/tan-nhiet-jonsbo-tf-360-lcd-white-argb
Heatsink,Tản nhiệt Noctua NH-D15S Chromax Black,2890000,https://gearvn.com/products/tan-nhiet-noctua-nh-d15s-chromax-black
Heatsink,Tản nhiệt AIO Corsair iCUE LINK TITAN 360 RX RGB LCD Black (CW-9061023-WW),6490000,https://gearvn.com/products/tan-nhiet-aio-corsair-icue-link-titan-360-rx-rgb-lcd-black-cw-9061023-ww
Heatsink,Tản nhiệt AIO Corsair iCUE LINK TITAN 360 RX RGB LCD White (CW-9061026-WW),6490000,https://gearvn.com/products/tan-nhiet-aio-corsair-icue-link-titan-360-rx-rgb-lcd-white-cw-9061026-ww
Heatsink,Tản nhiệt AIO GIGABYTE AORUS WATERFORCE II 360 ICE,7990000,https://gearvn.com/products/tan-nhiet-aio-gigabyte-aorus-waterforce-ii-360-ice
Heatsink,Tản nhiệt AIO Cooler Master MasterLiquid 360 Core SI ARGB White,1990000,https://gearvn.com/products/tan-nhiet-aio-cooler-master-masterliquid-360-core-si-argb-white
Heatsink,Tản nhiệt AIO Cooler Master MasterLiquid 360 Core SI ARGB,1990000,https://gearvn.com/products/tan-nhiet-aio-cooler-master-masterliquid-360-core-si-argb
Heatsink,Tản nhiệt AIO Corsair iCUE LINK TITAN 360 RX RGB BLACK (CW-9061018-WW),4990000,https://gearvn.com/products/tan-nhiet-aio-corsair-icue-link-titan-360-rx-rgb-black-cw-9061018-ww
Heatsink,Tản nhiệt AIO Corsair iCUE LINK TITAN 360 RX RGB WHITE (CW-9061021-WW),4990000,https://gearvn.com/products/tan-nhiet-aio-corsair-icue-link-titan-360-rx-rgb-white-cw-9061021-ww
Heatsink,Tản nhiệt AIO ASUS ROG Ryujin III 360 ARGB Extreme,10990000,https://gearvn.com/products/tan-nhiet-aio-asus-rog-ryujin-iii-360-argb-extreme
Heatsink,Tản nhiệt AIO ASUS ROG STRIX LC III 360 ARGB LCD,7990000,https://gearvn.com/products/tan-nhiet-aio-asus-rog-strix-lc-iii-360-argb-lcd
Heatsink,Tản nhiệt AIO ASUS ROG RYUO III 360 ARGB WHITE,7990000,https://gearvn.com/products/tan-nhiet-nuoc-asus-rog-ryuo-iii-360-argb-white
Heatsink,Tản nhiệt AIO Cooler Master MasterLiquid 360 ION ARGB,5790000,https://gearvn.com/products/tan-nhiet-aio-cooler-master-masterliquid-360-ion-argb
Heatsink,Tản nhiệt AIO Cooler Master MasterLiquid 360 Atmos ARGB White,3290000,https://gearvn.com/products/tan-nhiet-aio-cooler-master-masterliquid-360-atmos-argb-white
Heatsink,Tản nhiệt AIO ASUS ProArt LC 420,7990000,https://gearvn.com/products/tan-nhiet-aio-asus-proart-lc-420
Heatsink,Tản nhiệt AIO ASUS ROG RYUJIN III 360 ARGB,9990000,https://gearvn.com/products/tan-nhiet-nuoc-asus-rog-ryujin-iii-360-argb
Heatsink,Tản nhiệt AIO ASUS ROG RYUO III 360 ARGB,7990000,https://gearvn.com/products/tan-nhiet-nuoc-asus-rog-ryuo-iii-360-argb
Heatsink,Tản nhiệt AIO ASUS ROG RYUJIN III 360,8990000,https://gearvn.com/products/tan-nhiet-nuoc-asus-rog-ryujin-iii-360
Heatsink,Tản nhiệt AIO ASUS ROG RYUJIN III 360 ARGB White Edition,9990000,https://gearvn.com/products/tan-nhiet-nuoc-asus-rog-ryujin-iii-360-argb-white-edition
Heatsink,Tản nhiệt AIO ASUS ROG RYUJIN III 240 ARGB,8490000,https://gearvn.com/products/tan-nhiet-aio-asus-rog-ryujin-iii-240-argb
Heatsink,Tản nhiệt AIO Cooler Master MasterLiquid 360 Atmos ARGB Black,2990000,https://gearvn.com/products/tan-nhiet-aio-cooler-master-masterliquid-360-atmos-argb-black
Heatsink,Tản nhiệt AIO GIGABYTE AORUS WATERFORCE X II 360 ICE,7990000,https://gearvn.com/products/tan-nhiet-aio-gigabyte-aorus-waterforce-x-ii-360-ice
Heatsink,Tản nhiệt AIO GIGABYTE AORUS WATERFORCE X II 360,7990000,https://gearvn.com/products/tan-nhiet-aio-gigabyte-aorus-waterforce-x-ii-360
Heatsink,Bộ 3 quạt Corsair RS120 ARGB WHITE (CO-9050185-WW),1190000,https://gearvn.com/products/bo-3-quat-corsair-rs120-argb-white-co-9050185-ww
